constituency,const_no,leading_candidate,leading_party,trailing_candidate,trailing_party,margin,round,status,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30
COIMBATORE (SOUTH),120,V SENTHILBALAJI,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,V. SENTHILKUMAR,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,2271,20/20,Result Declared
COLACHAL,231,THARAHAI CUTHBERT,Indian National Congress,Indian National Congress,,Leading In,:,0,Won In,:,5,Trailing In,:,0,PREM ALEX LAWRENCE,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,2833,28/28,Result Declared
COONOOR,110,M. RAJU,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,A. RAMU,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,8099,18/18,Result Declared
CUDDALORE,155,B.RAJKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,A.S.CHANDARASEKARAN,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,15519,20/20,Result Declared
CUMBUM,201,JEGANATHMISHRA PLA,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,ERAMAKRISHNAN N,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,751,25/25,Result Declared
DHARAPURAM,101,SATHYABAMA.P,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,INDIRANI.T,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,16727,24/24,Result Declared
DHARMAPURI,59,SOWMIYA ANBUMANI,Pattali Makkal Katchi,Pattali Makkal Katchi,,Leading In,:,0,Won In,:,4,Trailing In,:,0,SIVAN. M.,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,20896,23/23,Result Declared
DINDIGUL,132,SENTHILKUMAR. I.P,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,NAZEER RAJA. G,Tamilaga Vettri KazhagamiParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Tamilaga Vettri Kazhagam,iParty Wise State TrendsLeading In:0Won In:108Trailing In:0,Leading In,:,0,Won In,:,108,Trailing In,:,0,1131,26/26,Result Declared
DR.RADHAKRISHNAN NAGAR,11,N. MARIE WILSON,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,J. JOHN EBENEZER,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,49668,18/18,Result Declared
EDAPPADI,86,EDAPPADI PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,PREMKUMAR. K,IndependentiParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Independent,iParty Wise State TrendsLeading In:0Won In:0Trailing In:0,Leading In,:,0,Won In,:,0,Trailing In,:,0,98110,25/25,Result Declared
EGMORE,16,RAJMOHAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,TAMILAN PRASANNA,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,10804,15/15,Result Declared
ERODE (EAST),98,M.VIJAY BALAJI,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,GOPINATH PALANIYAPPAN,Indian National CongressiParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Indian National Congress,iParty Wise State TrendsLeading In:0Won In:5Trailing In:0,Leading In,:,0,Won In,:,5,Trailing In,:,0,23966,20/20,Result Declared
ERODE (WEST),99,ANANTH MOGHAN K.K.,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,S. MUTHUSAMY,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,22250,24/24,Result Declared
GANDHARVAKOTTAI,178,N. SUBRAMANIAN,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,C. UTHAYAKUMAR,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Bharatiya Janata Party,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,11039,18/18,Result Declared
GANGAVALLI,81,NALLATHAMBI. A,All India Anna Dravida Munnetra Kazhagam,All India Anna Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,47,Trailing In,:,0,CHINNADURAI. K,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,14404,22/22,Result Declared
GINGEE,70,GANESHKUMAR A,Pattali Makkal Katchi,Pattali Makkal Katchi,,Leading In,:,0,Won In,:,4,Trailing In,:,0,GINGEE MASTHAN K S,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,12645,24/24,Result Declared
GOBICHETTIPALAYAM,106,SENGOTTAIYAN.K.A,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,NALLASIVAM.N,Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:59Trailing In:0,Leading In,:,0,Won In,:,59,Trailing In,:,0,16620,23/23,Result Declared
GUDALUR,109,DHRAVIDAMANI.M,Dravida Munnetra Kazhagam,Dravida Munnetra Kazhagam,,Leading In,:,0,Won In,:,59,Trailing In,:,0,PON.JAYASEELAN,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,22833,18/18,Result Declared
GUDIYATTAM,46,K.SINDU,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,K.B.PRADAP,Desiya Murpokku Dravida KazhagamiParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Desiya Murpokku Dravida Kazhagam,iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,Leading In,:,0,Won In,:,1,Trailing In,:,0,10097,23/23,Result Declared
GUMMIDIPOONDI,1,S.VIJAYAKUMAR,Tamilaga Vettri Kazhagam,Tamilaga Vettri Kazhagam,,Leading In,:,0,Won In,:,108,Trailing In,:,0,SUDHAKAR.V,All India Anna Dravida Munnetra KazhagamiParty Wise State TrendsLeading In:0Won In:47Trailing In:0,All India Anna Dravida Munnetra Kazhagam,iParty Wise State TrendsLeading In:0Won In:47Trailing In:0,Leading In,:,0,Won In,:,47,Trailing In,:,0,27945,26/26,Result Declared
